source,algo,n_calls,total_time,min,max,mean
sp,write_dur_subvec,106,1.05966e+10,0,3.59315e+08,9.99678e+07
sp,write_subvec,353,3.84954e+10,0,4.2479e+08,1.09052e+08
sp,zstd,459,1.63913e+10,0,3.10657e+08,3.57109e+07
sp,write,11665,9.5276e+06,0,174235,816.768
sp,write_vector,156,7.9026e+10,0,5.99141e+09,5.06577e+08
sp,write_duration_vector,69,3.30118e+10,0,4.53406e+09,4.78432e+08
sp,write_dur_subvec,107,9.71774e+09,0,2.67571e+08,9.082e+07
sp,write_subvec,352,3.49757e+10,0,5.50624e+08,9.93627e+07
sp,zstd,447,1.71792e+10,0,3.56025e+08,3.84322e+07
sp,write,11665,9.08111e+06,0,154834,778.492
sp,write_vector,154,8.13198e+10,0,4.76423e+09,5.2805e+08
sp,write_duration_vector,67,3.29004e+10,0,3.75201e+09,4.91051e+08
sp,write_dur_subvec,102,1.0062e+10,0,4.39306e+08,9.86474e+07
sp,write_subvec,345,3.48046e+10,0,3.27135e+08,1.00883e+08
sp,zstd,463,1.63831e+10,0,2.02569e+08,3.53847e+07
sp,write,11665,9.45673e+06,0,168694,810.693
sp,write_vector,152,7.99499e+10,0,4.92528e+09,5.25986e+08
sp,write_duration_vector,65,3.17561e+10,0,3.55384e+09,4.88555e+08
sp,write_dur_subvec,107,1.04506e+10,0,3.25633e+08,9.76687e+07
sp,write_subvec,356,3.57596e+10,0,6.34574e+08,1.00448e+08
sp,zstd,459,1.79475e+10,0,3.87557e+08,3.91013e+07
sp,write,11665,8.77647e+06,0,147104,752.377
sp,write_vector,156,7.84771e+10,0,4.39203e+09,5.03059e+08
sp,write_duration_vector,69,3.54181e+10,0,3.88811e+09,5.13305e+08
sp,write_dur_subvec,107,1.2234e+10,0,4.20305e+08,1.14336e+08
sp,write_subvec,352,3.48726e+10,0,4.50982e+08,9.90699e+07
sp,zstd,463,1.64561e+10,0,2.32669e+08,3.55424e+07
sp,write,11665,9.02287e+06,0,145524,773.5
sp,write_vector,152,8.05799e+10,0,4.91047e+09,5.30131e+08
sp,write_duration_vector,65,3.23548e+10,0,4.06327e+09,4.97766e+08
sp,write_dur_subvec,107,1.02894e+10,0,2.6895e+08,9.61627e+07
sp,write_subvec,356,3.56782e+10,0,4.85384e+08,1.0022e+08
sp,zstd,463,1.67742e+10,0,3.12069e+08,3.62294e+07
sp,write,11665,9.02693e+06,0,155474,773.847
sp,write_vector,152,8.09401e+10,0,4.77019e+09,5.32501e+08
sp,write_duration_vector,65,3.44628e+10,0,5.9875e+09,5.30196e+08
sp,write_dur_subvec,107,1.01129e+10,0,3.14344e+08,9.45133e+07
sp,write_subvec,356,3.6257e+10,0,4.33726e+08,1.01846e+08
sp,zstd,459,1.74681e+10,0,2.37285e+08,3.80568e+07
sp,write,11665,9.25691e+06,0,151844,793.563
sp,write_vector,156,8.50845e+10,0,4.84846e+09,5.45413e+08
sp,write_duration_vector,69,3.17658e+10,0,4.98877e+09,4.60373e+08
sp,write_dur_subvec,107,1.04667e+10,0,2.54003e+08,9.78197e+07
sp,write_subvec,352,3.68457e+10,0,4.75439e+08,1.04675e+08
sp,zstd,455,1.6672e+10,0,2.35801e+08,3.66418e+07
sp,write,11665,9.32864e+06,0,157314,799.712
sp,write_vector,158,8.10519e+10,0,4.65991e+09,5.12987e+08
sp,write_duration_vector,69,3.43857e+10,0,4.45734e+09,4.98344e+08
sp,write_dur_subvec,105,1.06066e+10,0,2.94253e+08,1.01015e+08
sp,write_subvec,350,3.57204e+10,0,4.08356e+08,1.02058e+08
sp,zstd,459,1.739e+10,0,3.02683e+08,3.78866e+07
sp,write,11665,9.05672e+06,0,159454,776.401
sp,write_vector,156,8.35563e+10,0,5.02756e+09,5.35618e+08
sp,write_duration_vector,69,3.29068e+10,0,3.82096e+09,4.7691e+08
